feature,importance
Src IP,0.12938242110256945
Dst IP,0.08767928694932069
Idle Max,0.06595925392886345
Dst Port,0.05218116556133179
Idle Min,0.04486274713924819
Idle Mean,0.04281529649759774
Flow IAT Min,0.028610903412908856
Flow IAT Max,0.026599540683332763
Flow IAT Mean,0.02477094683015001
Flow Bytes/s,0.023928306547507584
Src Port,0.023915816834441144
Flow Packets/s,0.023044569199839302
Flow Duration,0.02278589534529419
Fwd Packets/s,0.02167346762250687
Bwd Packets/s,0.02120891193161382
FWD Init Win Bytes,0.01672142479799492
Fwd IAT Max,0.014501472818906316
Fwd IAT Total,0.01392437961028413
Fwd IAT Min,0.013132804699275477
Fwd IAT Mean,0.013042774570671555
Bwd Init Win Bytes,0.012340552679750467
Packet Length Min,0.010510439975641763
Bwd Packet Length Min,0.010241080485533873
Bwd Header Length,0.010194588769937797
Packet Length Mean,0.010005159551834243
Fwd Packet Length Min,0.009937167974607277
Subflow Bwd Bytes,0.009929362894726658
Average Packet Size,0.009808107296544863
Packet Length Std,0.009735740162192487
Packet Length Max,0.00943419435704706
Packet Length Variance,0.009426130902498333
Fwd Seg Size Min,0.009055974943508792
Bwd Packet Length Mean,0.008991040241634699
Total Length of Bwd Packet,0.008904666724746463
Fwd Packet Length Max,0.008870671707965431
Bwd Segment Size Avg,0.008794072808965284
Total Length of Fwd Packet,0.008494634645933509
Fwd Packet Length Mean,0.00848743020247196
Total Bwd packets,0.008198945760321624
Fwd Segment Size Avg,0.00814696865049949
Fwd Header Length,0.007896754789965325
Subflow Fwd Bytes,0.007844746722698947
Idle Std,0.007635286903136324
Bwd Packet Length Max,0.007428444969190033
ACK Flag Count,0.007102507192358709
Flow IAT Std,0.00539532731465087
Subflow Fwd Packets,0.00534778109985666
Total Fwd Packet,0.004699667507781266
Fwd Act Data Pkts,0.0046245025452166365
Fwd IAT Std,0.0043993381903823965
Bwd IAT Max,0.0036680187461631867
FIN Flag Count,0.003601628430262598
Bwd Packet Length Std,0.003051906855318978
Protocol,0.002902217580931258
Fwd Packet Length Std,0.0027135510963857343
PSH Flag Count,0.0027056029803779877
Bwd IAT Total,0.002664236644834528
Bwd Bulk Rate Avg,0.0026222189875446415
Bwd IAT Mean,0.00250687888257497
Bwd IAT Min,0.0024470507377534747
Bwd Packet/Bulk Avg,0.002383569900708712
Bwd IAT Std,0.0018083714690831267
Down/Up Ratio,0.0016144384705774667
SYN Flag Count,0.001092133190741673
RST Flag Count,0.0008952060461382867
Fwd PSH Flags,0.0007002959253459485
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
ECE Flag Count,0.0
URG Flag Count,0.0
CWE Flag Count,0.0
Fwd Packet/Bulk Avg,0.0
Fwd Bulk Rate Avg,0.0
Bwd Bytes/Bulk Avg,0.0
Fwd Bytes/Bulk Avg,0.0
Subflow Bwd Packets,0.0
Active Min,0.0
Active Max,0.0
Active Std,0.0
Active Mean,0.0
